"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RRM2|6241",-0.808464348684997,9.3020355241476,-5.48108355147024,5.24831228244456e-08,5.4488247260559e-06,8.03344620990995
"LIPE|3991",1.03599531797134,7.99128642656429,5.47857250686369,5.32130151625722e-08,5.49641577533813e-06,8.02046391297693
"GTSE1|51512",-0.727742046303796,7.22483866517245,-5.47335543907811,5.47611052561853e-08,5.62760698432219e-06,7.99350923511366
"TOP2A|7153",-0.853932911913051,10.7520089636054,-5.46969960289618,5.58718740780146e-08,5.71275803388589e-06,7.97463532877129
"CPEB1|64506",0.762610237949206,3.34064723302922,5.46214438380511,5.82371180361066e-08,5.91781057190002e-06,7.93566792658807
"C10orf108|414235",0.631410296479634,1.9497664473617,5.46144178778706,5.84619468698446e-08,5.91781057190002e-06,7.93204674824355
"LRRC70|100130733",0.58152221587653,5.21928183431088,5.45921540487247,5.91799601520421e-08,5.94439053742628e-06,7.92057488359145
"PCOLCE2|26577",1.35909356468191,5.4676462555728,5.45880952813274,5.93117751820256e-08,5.94439053742628e-06,7.91848400235803
"SLC7A14|57709",0.52024634722658,0.819040408731169,5.45262476794208,6.13559699942912e-08,6.08897849281581e-06,7.88664128012726
"CENPF|1063",-0.730356138372695,10.4893672289882,-5.44429262487779,6.42182881398421e-08,6.34194752873709e-06,7.84379654432503
"NEIL3|55247",-0.807072124772082,5.22327771554608,-5.43902369371183,6.60947248422218e-08,6.49557138073194e-06,7.81673513215216
"CDH20|28316",0.666987369516123,1.44093793380672,5.43514131278841,6.75112906246227e-08,6.60273467968834e-06,7.79681094427275
"CEP55|55165",-0.773346033422708,8.05987472782313,-5.4341628250471,6.7872932460083e-08,6.60618998872298e-06,7.79179151600172
"ATF3|467",0.786648104429655,9.20940285166043,5.42466474105212,7.14824278041974e-08,6.9242189038085e-06,7.74311283617541
"CCDC3|83643",0.675608909945968,8.3060852690275,5.42375510583571,7.18377213984497e-08,6.92549842719816e-06,7.73845508619117
"TRHDE|29953",0.93153644741043,2.13219109183747,5.42249210613033,7.23338767397948e-08,6.94028120662155e-06,7.73198917286418
"GRIA4|2893",1.21684822698747,3.09282958932375,5.41980517938845,7.3400487211465e-08,7.00940029998164e-06,7.71823821903508
"CAPZA3|93661",0.583995773667498,0.911572162975144,5.41344668128852,7.59856934240297e-08,7.22220827872996e-06,7.6857228524792
"RYR3|6263",0.804020100407296,3.76116242826524,5.40722043998882,7.86025857742687e-08,7.40143883255846e-06,7.65391879900278
"ADAMTS14|140766",-0.812707469208045,6.20158391076521,-5.40356738744791,8.01784268761138e-08,7.51487153753206e-06,7.63527488445174
"HYAL1|3373",0.631184063681043,5.30839221341161,5.40024743452838,8.16371185540395e-08,7.61472699459017e-06,7.61834133675779
"ESPL1|9700",-0.721720585479021,7.8099152064771,-5.39026542085623,8.61796171153925e-08,7.93048340227783e-06,7.56748701871412
"ZWINT|11130",-0.569812313671201,9.19059295262024,-5.38614256822832,8.8126477564592e-08,8.07294361219532e-06,7.54650874122621
"MKI67|4288",-0.761489233939478,10.3044424084929,-5.38187890968519,9.01846584069118e-08,8.22427211463031e-06,7.52482998446023
"RDH5|5959",0.928637531908857,5.22576656344124,5.37564839351293,9.32763212528251e-08,8.46806781956701e-06,7.49317988367669
"SLC19A3|80704",1.35461148300315,5.28316367622364,5.3700857963001,9.6123179102469e-08,8.66765952331295e-06,7.46495204273986
"SHE|126669",0.599341150195896,7.26941114481848,5.36968578604584,9.63311134969332e-08,8.66765952331295e-06,7.46292322549013
"KIF20A|10112",-0.825634760854101,8.42438303238783,-5.36710489107212,9.76832413824144e-08,8.75043018489814e-06,7.44983659094317
