"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KIAA1683|80726",1.0664476085553,6.16431623413206,6.76367002432476,2.73928331267087e-11,5.13488802453905e-09,15.2151364617639
"AQPEP|206338",1.63945695090772,3.0699227871962,6.75184577620948,2.95802566248998e-11,5.45321183604064e-09,15.1415974918564
"ESCO2|157570",-1.06065611860145,6.60986310333392,-6.75158852989786,2.96297012578153e-11,5.45321183604064e-09,15.1399988501963
"GYS2|2998",1.16165008209941,1.00829504806942,6.73616404899602,3.27473165025678e-11,5.97269750085122e-09,15.0442424227945
"TK1|7083",-1.02481344629361,9.54540318897229,-6.73140009390441,3.37736581878434e-11,6.00440192677323e-09,15.0147064154874
"BTNL9|153579",1.50771680531316,6.42575742851118,6.73126422289884,3.38033880362373e-11,6.00440192677323e-09,15.0138643000654
"ASF1B|55723",-0.985371767588297,8.52969242098886,-6.73073333114745,3.39197983602668e-11,6.00440192677323e-09,15.0105740277129
"NCAPH|23397",-0.968214258310723,7.79349829567903,-6.71426788604288,3.77319962249085e-11,6.58520916873511e-09,14.9086408437842
"CDK1|983",-1.01045842119324,9.28424548636409,-6.71145727843203,3.8423425850368e-11,6.64856629351026e-09,14.8912631221217
"MND1|84057",-1.0962393712378,5.33456580450135,-6.70407853076273,4.02983145641857e-11,6.91389303688084e-09,14.8456715687022
"GPR146|115330",0.96380239189411,6.52587138583979,6.7018869132484,4.08722652505072e-11,6.95343705879428e-09,14.8321386012703
"PCK1|5105",2.32458402898009,3.81963615575441,6.68600759325623,4.52770868269602e-11,7.43509888648574e-09,14.7342024309958
"CLEC4GP1|440508",0.893838231223202,0.839517644183395,6.68530399075344,4.54826703326546e-11,7.43509888648574e-09,14.7298676874853
"LOC283392|283392",1.84751065904614,2.21203410921799,6.68449056261225,4.5721484162677e-11,7.43509888648574e-09,14.7248568339135
"RDH5|5959",1.5192148331098,5.02333235399691,6.68431899587578,4.57720110873476e-11,7.43509888648574e-09,14.7238000228413
"TMC2|117532",0.888561493258835,1.46344420152297,6.68386151883207,4.59070072023076e-11,7.43509888648574e-09,14.7209821880625
"PRC1|9055",-0.849770997396366,9.75546374464376,-6.67899648521066,4.73669876923536e-11,7.61067195104523e-09,14.6910264977096
"TACC3|10460",-0.772144453805307,9.26054555999075,-6.65524485419086,5.51742620269831e-11,8.79529869871081e-09,14.54505623342
"ATF3|467",1.14700141440621,9.16044166692003,6.64799117697594,5.78006288972735e-11,9.14198228144768e-09,14.5005689744948
"CPA1|1357",1.18962794763392,1.12401072239541,6.64117288073341,6.0380873654907e-11,9.47605261351621e-09,14.4587910496787
"KLB|152831",1.49747781362428,4.98414948351021,6.63515343777147,6.27523965188973e-11,9.77247898096213e-09,14.4219394745282
"CDCA3|83461",-0.965847074379993,7.24299118866825,-6.62501798090648,6.69533943571641e-11,1.03330361712793e-08,14.3599560933683
"SPC25|57405",-1.02295643122235,6.56346547271334,-6.62404073938007,6.73727228752222e-11,1.03330361712793e-08,14.3539842054437
"TMEM88|92162",0.89764844911355,4.53616704481587,6.61973306357801,6.92520035452227e-11,1.05414045997973e-08,14.3276694468753
"OIP5|11339",-0.897720490493052,5.87179909581441,-6.61808103483609,6.99862695155279e-11,1.05736718383721e-08,14.3175815425548
"CCNB1|891",-0.794034664388976,9.58988618317394,-6.60837368332842,7.44574914604522e-11,1.11658660341989e-08,14.258349864243
"HIF3A|64344",1.72478020296049,3.26611993673196,6.60676811791297,7.52235141157079e-11,1.11977944358273e-08,14.2485605507315
"CDCA2|157313",-1.00482724540784,6.76887674089647,-6.60263721665079,7.72300564119152e-11,1.14125729347389e-08,14.2233836624287
"POLQ|10721",-0.957315843002079,6.72319079436449,-6.58873429038412,8.43761597028003e-11,1.23782271969797e-08,14.1387510258322
"ANGPTL7|10218",1.75774072123769,2.06397181534014,6.58707165820778,8.52729638217832e-11,1.24197924645468e-08,14.1286405054793
"PGA3|643834",1.10374431540402,1.03016344680873,6.57946008589124,8.9499228675836e-11,1.29422277467307e-08,14.0823831637593
"NPY2R|4887",1.92788723556818,1.89645229243476,6.5738322954279,9.27553035606438e-11,1.33179512098244e-08,14.0482122255845
"HSPB6|126393",1.63349227058322,7.75402306557727,6.56774341421796,9.6408883781815e-11,1.36489360291108e-08,14.0112708288106
"C16orf59|80178",-0.924179681173057,6.35179159669509,-6.56608219101207,9.74299260929453e-11,1.36977003732755e-08,14.0011974166992
"ABCA10|10349",1.50650295949655,3.9730290689334,6.55406408792605,1.05138852746351e-10,1.4521597159346e-08,13.9283887484546
"HPD|3242",1.23433344236965,1.31664325348212,6.55382798816005,1.05296129497897e-10,1.4521597159346e-08,13.9269595824171
"FRMD1|79981",1.33384910624343,1.78160677219074,6.5536092092962,1.05442073718146e-10,1.4521597159346e-08,13.9256353045523
"SKA1|220134",-1.04004493480837,6.64061175590615,-6.54502320096246,1.11328833386218e-10,1.52287312966485e-08,13.8736948096551
"KCNJ16|3773",1.67129812223962,2.44675749700113,6.54278594670607,1.12914875234704e-10,1.53420244907825e-08,13.8601706124226
"FAM111B|374393",-1.09005018073958,8.36783532644603,-6.54041472494586,1.14620048927507e-10,1.54698859369158e-08,13.8458410623981
"UBE2T|29089",-0.978963397993052,8.17601476327174,-6.53144254317503,1.21303330026777e-10,1.61564862920533e-08,13.7916629348504
"GPR144|347088",1.24828388242766,0.925504252232329,6.52692650750998,1.24810201941615e-10,1.64489799535719e-08,13.7644180391131
"C4orf49|84709",0.925135715670628,2.75529599551102,6.52652801414699,1.25124372084469e-10,1.64489799535719e-08,13.7620147629029
"ELMOD3|84173",0.531887972333545,8.54331285711964,6.5217996532921,1.28911822374364e-10,1.68375473804452e-08,13.7335084094784
"ADRA1A|148",1.26316444376543,1.65821347456634,6.50301642900734,1.45097765674259e-10,1.88301555517652e-08,13.6204493808261
"TMEM220|388335",0.901430459499467,5.72251928423745,6.50129857598673,1.46673749870009e-10,1.89134399115817e-08,13.6101238333443
"TMEM22|80723",0.819540510015225,5.71364847423245,6.49809850811641,1.49654359372129e-10,1.91756487689162e-08,13.5908955625064
"RACGAP1|29127",-0.630346780961038,9.67859246645129,-6.49474403584258,1.52842449553671e-10,1.94082156101105e-08,13.5707485573567
"EZH2|2146",-0.767746875803931,8.37339060103655,-6.49417819784973,1.53386737348367e-10,1.94082156101105e-08,13.567351038644
"SPOCK3|50859",1.0646929187317,1.36048142194961,6.48757540204548,1.59880056451259e-10,2.01041723158741e-08,13.5277246587544
"FIGF|2277",1.9036642529964,3.59686351445701,6.48156074476425,1.66028758521462e-10,2.07063017224347e-08,13.4916591728821
"HEPACAM|220296",1.73485793124724,2.24745889832522,6.48090389234621,1.66714111175938e-10,2.07063017224347e-08,13.4877223134315
"FLJ42875|440556",0.876010943137398,1.51009586330756,6.47901015997558,1.68705552719144e-10,2.08258775292626e-08,13.476374173726
"TNXB|7148",1.51801583076063,8.56664151057375,6.47729588525405,1.70528349672914e-10,2.09233117522917e-08,13.4661039737205
"CASC5|57082",-1.0608559956382,7.16860025886475,-6.47243014463559,1.75807797252318e-10,2.1441137682971e-08,13.4369665519823
"UHRF1|29128",-1.17194737107616,8.01964703263218,-6.4708743469355,1.77529393664567e-10,2.15214525433483e-08,13.4276541097436
"ATOH8|84913",1.31678247764273,5.08114801407549,6.46708630529116,1.81790432281518e-10,2.19068291758294e-08,13.4049885947603
"FXYD1|5348",1.72014875071429,4.0543904423615,6.4657777063763,1.83285572421357e-10,2.19563101400614e-08,13.3971614188803
"GPAM|57678",1.14471229971245,9.30785762794595,6.46128943326658,1.88505673311764e-10,2.23047417321834e-08,13.3703262407226
"GRIA4|2893",1.78043458116971,3.04372092006561,6.45981461548798,1.9025252493024e-10,2.23047417321834e-08,13.3615119945333
"COL10A1|1300",-2.10432094651755,9.87204776520241,-6.45952186695491,1.90601151872943e-10,2.23047417321834e-08,13.3597625964738
"CA4|762",1.98747009509767,2.14585800727284,6.44525725540657,2.08367721714159e-10,2.42437041730066e-08,13.274606092475
"C14orf180|400258",1.94870927738267,2.56654181861422,6.44373780118468,2.1035312625127e-10,2.43348516626112e-08,13.2655451769373
"HAS3|3038",1.29300600169023,6.45241367991655,6.40114634030744,2.74194205373179e-10,3.13619304394351e-08,13.0123357521897
"DTL|51514",-1.00897191339149,8.67653793181513,-6.39929368491933,2.77364315442337e-10,3.15462953153377e-08,13.0013555682377
"PYGM|5837",1.17454457337834,3.53480217811551,6.39820388944051,2.79245807323283e-10,3.15828568115077e-08,12.9948979720408
"ERCC6L|54821",-0.903150902890247,6.70969663136143,-6.39143529738743,2.91214335252658e-10,3.24229582549897e-08,12.9548125776099
"ETS2|2114",0.6053042006528,9.95490873922785,6.39135028568278,2.91367803504478e-10,3.24229582549897e-08,12.9543093565726
"EGR1|1958",1.20960165675738,11.611435042354,6.39128909875273,2.91478310812947e-10,3.24229582549897e-08,12.9539471683749
"PSD2|84249",1.05461987926394,2.7811624375268,6.38538657449852,3.02333671259441e-10,3.34466949434283e-08,12.9190224827819
"EGR3|1960",1.23726721628042,8.33109471520888,6.38364152381082,3.05618081898952e-10,3.36262938480668e-08,12.9087026978945
"SLC7A10|56301",1.80805070626245,2.85120952135738,6.3820102730492,3.08719862704720e-10,3.3783965515984e-08,12.8990581740961
"MLXIPL|51085",1.56453011024834,4.66376392448345,6.37873550152601,3.15040024052495e-10,3.42902434781869e-08,12.8797032259316
"RAG1AP1|55974",-0.644124283262341,10.5372638952754,-6.37748269198486,3.17491221003898e-10,3.43722447552081e-08,12.8723010663647
"MCM10|55388",-1.04922036930636,7.2382633117488,-6.3741114090719,3.24180380377084e-10,3.49097436209259e-08,12.8523884661101
"MYBL2|4605",-1.26915142719302,8.95388602211814,-6.34422028171179,3.89846434768053e-10,4.15391635362065e-08,12.6762469886521
"ORC1L|4998",-0.86211592311999,6.40477539628382,-6.33860298497493,4.03563468670088e-10,4.27756147812876e-08,12.6432281733839
"ZFP36|7538",0.949764353278871,11.0482791747523,6.33656826968304,4.08647661781149e-10,4.30889162122884e-08,12.6312744446176
"CENPA|1058",-1.00614295655241,6.37631064856774,-6.32962562236377,4.26471467145746e-10,4.47353101158841e-08,12.5905129917307
"ABCB5|340273",1.42709583927286,2.42700742444576,6.32821842708421,4.30175735097893e-10,4.48912770982312e-08,12.5822559827357
"E2F1|1869",-0.857881555836678,8.07732837088493,-6.32385089358999,4.41874266976828e-10,4.58756129997225e-08,12.5566390373193
"COL11A1|1301",-2.14674320055165,10.1779650747823,-6.32050528590646,4.51045466842772e-10,4.6588854470571e-08,12.5370267087404
"GPX3|2878",1.31478654372268,10.0635514450492,6.31117174338778,4.77626552562618e-10,4.8590701289599e-08,12.4823615324557
"DIAPH3|81624",-0.883004780160074,7.02207403646464,-6.30895566862712,4.84159360076096e-10,4.90090312237028e-08,12.4693929328037
"NAALAD2|10003",1.02321343986335,3.83151113047296,6.30315083813937,5.01688553417644e-10,5.05307699698517e-08,12.4354420523999
"NPHP3|27031",0.527097426896236,8.25717334098066,6.29573215621809,5.2499677477664e-10,5.26166322047182e-08,12.3920929280453
"LRRC70|100130733",0.819922327072617,5.15421061264205,6.29186777623723,5.37554097840927e-10,5.36097670482245e-08,12.3695305467356
"MMP11|4320",-1.7492797659508,11.5573754975307,-6.28743175632094,5.52331259467627e-10,5.46275743012247e-08,12.3436459144575
"LOC90586|90586",0.762780373724893,1.30632027901543,6.28658485034883,5.55197263744776e-10,5.46275743012247e-08,12.3387059902397
"SHCBP1|79801",-0.901984195429763,7.34081916198286,-6.28639115267196,5.55854794075193e-10,5.46275743012247e-08,12.3375762533686
"EME1|146956",-0.855509580357102,6.00098501766652,-6.28281318696179,5.68138472420129e-10,5.55650404548092e-08,12.3167134662534
"STIL|6491",-0.693380212783746,8.09572509367164,-6.2802399520293,5.7713644563398e-10,5.61736891435573e-08,12.3017157506564
"NIPSNAP3B|55335",0.906382068626752,4.82960211776884,6.27140217893772,6.09113729098402e-10,5.90024279693643e-08,12.2502480391191
"SEL1L2|80343",0.732447323949332,0.555536533203998,6.26707338457512,6.25402077527256e-10,6.02917383787586e-08,12.2250625480485
"AQP7P1|375719",1.69211593905027,2.42193249314274,6.26548598062566,6.3148122559484e-10,6.05892768349173e-08,12.2158307312024
"GOLGA6L10|647042",0.605289710296885,6.26876524790833,6.25235655493162,6.84026804274124e-10,6.50046093802321e-08,12.1395547343731
"C13orf36|400120",0.927036166068119,0.942142356962766,6.25215166737068,6.84879751671491e-10,6.50046093802321e-08,12.1383655679044
"LOC647309|647309",0.537497601760439,0.38034186787366,6.25106099969056,6.89437731620838e-10,6.50046093802321e-08,12.1320359259515
"AMOTL2|51421",0.630360264253923,10.4432743272801,6.25084525500054,6.90342850913801e-10,6.50046093802321e-08,12.1307839784707
"FGF2|2247",1.26958055101832,7.217446186821,6.24360132140497,7.21417021062184e-10,6.72857632089292e-08,12.0887705696563
"CST1|1469",-2.43583899700902,6.08656541939198,-6.24300973081936,7.24014308421461e-10,6.72857632089292e-08,12.0853413895609
"ALDH1L1|10840",1.90908878718001,4.14468220445883,6.24289042388038,7.24539213610598e-10,6.72857632089292e-08,12.0846498571207
"FAM64A|54478",-0.980278476396971,6.21634686937953,-6.2375963625518,7.48209306267838e-10,6.90976368257501e-08,12.0539761102025
"C21orf62|56245",0.577616929935363,1.03637115750021,6.23701027031744,7.5087577681724e-10,6.90976368257501e-08,12.0505817324604
"HLF|3131",1.38799686193093,6.80952030960319,6.23283150401487,7.70158443225108e-10,7.05513922311869e-08,12.0263885287772
"TLCD1|116238",-0.860753108479674,7.34538459883512,-6.22381034154041,8.13450949725128e-10,7.41815967440776e-08,11.9742096276168
"ESM1|11082",-1.07064087886481,7.01716679002302,-6.22133867200022,8.25721808151231e-10,7.49629506996488e-08,11.9599251969503
"CNTNAP3|79937",1.36271632603634,4.57931339417404,6.22042116869221,8.30322735777016e-10,7.50441240437754e-08,11.9546239997703
"C18orf34|374864",1.20518574674886,2.80100071497826,6.21879916953823,8.38517813902127e-10,7.52331041986217e-08,11.9452540484249
"PPP1R12B|4660",0.67623809107228,10.0302960124843,6.21853775704465,8.39845964380761e-10,7.52331041986217e-08,11.9437441282095
